"id_harp_rosca","bg_female","bg_married","bg_b1_age","encouragement","safe_box","locked_box","fol2_amtinvest","has_followup2"
1121,1,1,35,0,0,1,750,1
1121,1,1,38,0,0,1,0,1
1121,1,0,48,0,0,1,40,1
1121,1,1,40,0,0,1,1590,1
1121,1,1,45,0,0,1,105,1
1121,1,0,50,0,0,1,0,1
1121,1,1,53,0,0,1,0,1
1124,1,0,34,0,1,0,750,1
1124,1,0,88,0,1,0,0,1
1124,1,0,29,0,1,0,330,1
1124,1,0,68,0,1,0,310,1
1124,1,1,36,0,1,0,1210,1
1129,0,1,38,1,0,0,160,1
1129,0,1,38,1,0,0,110,1
1129,0,1,65,1,0,0,0,1
1129,0,1,45,1,0,0,0,1
1129,0,1,68,1,0,0,40,1
1129,1,1,55,1,0,0,100,1
1129,1,1,32,1,0,0,105,1
1131,1,1,45,0,0,1,600,1
1131,0,1,66,0,0,1,60,1
1131,0,1,50,0,0,1,263,1
1131,1,1,36,0,0,1,660,1
1131,1,0,67,0,0,1,680,1
1131,1,1,70,0,0,1,2740,1
1131,1,1,70,0,0,1,2740,1
1131,1,0,42,0,0,1,470,1
1131,0,1,65,0,0,1,99,1
1131,0,1,60,0,0,1,20,1
1131,1,1,20,0,0,1,560,1
1131,0,0,34,0,0,1,60,1
1131,0,1,46,0,0,1,670,1
1131,1,1,50,0,0,1,100,1
1131,0,1,31,0,0,1,310,1
1136,0,1,45,0,1,0,283,1
1136,1,0,35,0,1,0,20,1
1136,1,1,42,0,1,0,60,1
1136,1,1,30,0,1,0,410,1
1136,0,1,40,0,1,0,60,1
1136,1,1,34,0,1,0,20,1
1136,1,1,49,0,1,0,10,1
1136,1,0,60,0,1,0,20,1
1140,0,1,40,1,0,0,710,1
1140,1,1,48,1,0,0,180,1
1140,1,1,53,1,0,0,430,1
1140,1,0,18,1,0,0,200,1
1140,1,0,43,1,0,0,60,1
1140,1,0,38,1,0,0,40,1
1140,1,0,50,1,0,0,60,1
1140,0,0,27,1,0,0,740,1
1140,1,1,31,1,0,0,NA,0
1140,1,0,42,1,0,0,230,1
1140,1,1,30,1,0,0,0,1
1145,1,1,30,0,0,1,90,1
1145,0,1,35,0,0,1,650,1
1145,1,1,20,0,0,1,140,1
1145,1,1,52,0,0,1,0,1
1145,1,1,21,0,0,1,0,1
1148,1,1,38,0,1,0,120,1
1148,1,1,45,1,0,0,NA,0
1148,1,1,56,0,1,0,50,1
1148,1,1,53,0,1,0,500,1
1148,1,1,28,0,1,0,130,1
1149,0,1,22,0,1,0,340,1
1149,0,1,31,0,1,0,NA,0
1149,0,1,27,0,1,0,0,1
1149,0,1,32,0,1,0,0,1
1149,0,1,30,0,1,0,0,1
1149,0,1,34,0,1,0,120,1
1149,1,1,23,0,1,0,NA,0
1152,1,1,29,0,0,1,NA,0
1152,0,1,49,0,0,1,40,1
1152,0,1,44,0,0,1,1060,1
1152,0,1,32,0,0,1,450,1
1152,0,1,36,0,0,1,132,1
1152,1,1,24,0,0,1,20,1
1152,1,1,27,0,0,1,35,1
1163,1,0,28,0,1,0,560,1
1171,1,1,35,0,0,1,100,1
1171,1,0,40,0,0,1,50,1
1171,1,0,42,0,0,1,50,1
1171,1,1,30,0,0,1,0,1
1171,1,0,28,0,0,1,60,1
1171,1,1,35,0,0,1,80,1
1171,1,1,30,0,0,1,0,1
1172,0,1,48,1,0,0,700,1
1172,0,1,35,1,0,0,336,1
1172,1,1,31,1,0,0,230,1
1172,0,0,22,1,0,0,NA,0
1172,1,0,50,1,0,0,40,1
1172,1,1,52,1,0,0,350,1
1172,1,1,22,1,0,0,600,1
1172,0,1,76,1,0,0,480,1
1172,0,1,50,1,0,0,NA,0
1174,0,1,26,0,0,1,20,1
1174,0,1,26,0,0,1,283,1
1174,1,1,30,0,0,1,20,1
1174,0,1,51,0,0,1,0,1
1174,1,1,45,0,0,1,245,1
1174,1,1,53,0,0,1,40,1
1174,1,1,30,0,0,1,540,1
1174,1,0,45,0,0,1,0,1
1174,1,1,45,0,0,1,0,1
1174,1,1,25,0,0,1,575,1
1179,1,1,42,0,0,1,1450,1
1179,1,1,50,0,0,1,1428,1
1179,1,1,42,0,0,1,NA,0
1179,1,0,53,0,0,1,1700,1
1182,0,1,24,1,0,0,1190,1
1182,0,1,30,1,0,0,60,1
1182,0,1,30,0,0,1,80,1
1182,0,0,30,1,0,0,NA,0
1188,1,1,25,0,0,1,70,1
1188,1,0,20,0,0,1,683,1
1188,1,0,19,0,0,1,300,1
1188,1,1,23,0,0,1,35,1
1188,1,1,29,0,0,1,70,1
1188,1,1,20,0,0,1,335,1
1188,1,1,26,0,0,1,33,1
1189,1,1,25,0,0,1,55,1
1189,0,1,65,1,0,0,0,1
1189,0,0,37,0,1,0,45,1
1189,0,1,26,1,0,0,1030,1
1189,0,1,47,1,0,0,65,1
1196,1,0,38,0,1,0,80,1
1196,0,1,48,0,1,0,70,1
1196,1,1,31,0,1,0,1000,1
1196,0,0,24,0,1,0,0,1
1196,1,1,40,0,1,0,NA,0
