primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
The Shawshank Redemption,movie,1994,NA,142,Drama,9.3,2288457
The Dark Knight,movie,2008,NA,152,"Action,Crime,Drama",9,2253503
Inception,movie,2010,NA,148,"Action,Adventure,Sci-Fi",8.8,2015617
Fight Club,movie,1999,NA,139,Drama,8.8,1814835
Pulp Fiction,movie,1994,NA,154,"Crime,Drama",8.9,1787432
Forrest Gump,movie,1994,NA,142,"Drama,Romance",8.8,1763410
Game of Thrones,tvSeries,2011,2019,57,"Action,Adventure,Drama",9.3,1710184
The Matrix,movie,1999,NA,136,"Action,Sci-Fi",8.7,1639034
The Lord of the Rings: The Fellowship of the Ring,movie,2001,NA,178,"Action,Adventure,Drama",8.8,1625730
The Lord of the Rings: The Return of the King,movie,2003,NA,201,"Action,Adventure,Drama",8.9,1610024
The Dark Knight Rises,movie,2012,NA,164,"Action,Adventure",8.4,1487081
Interstellar,movie,2014,NA,169,"Adventure,Drama,Sci-Fi",8.6,1461485
The Lord of the Rings: The Two Towers,movie,2002,NA,179,"Action,Adventure,Drama",8.7,1455056
Se7en,movie,1995,NA,127,"Crime,Drama,Mystery",8.6,1408825
Gladiator,movie,2000,NA,155,"Action,Adventure,Drama",8.5,1313403
Batman Begins,movie,2005,NA,140,"Action,Adventure",8.2,1283776
The Avengers,movie,2012,NA,143,"Action,Adventure,Sci-Fi",8,1244213
The Silence of the Lambs,movie,1991,NA,118,"Crime,Drama,Thriller",8.6,1240003
Inglourious Basterds,movie,2009,NA,153,"Adventure,Drama,War",8.3,1235522
Saving Private Ryan,movie,1998,NA,169,"Drama,War",8.6,1209006
Star Wars: Episode IV - A New Hope,movie,1977,NA,121,"Action,Adventure,Fantasy",8.6,1208126
Schindler's List,movie,1993,NA,195,"Biography,Drama,History",8.9,1188214
The Departed,movie,2006,NA,151,"Crime,Drama,Thriller",8.5,1164389
The Prestige,movie,2006,NA,130,"Drama,Mystery,Sci-Fi",8.5,1161723
The Wolf of Wall Street,movie,2013,NA,180,"Biography,Crime,Drama",8.2,1148061
Star Wars: Episode V - The Empire Strikes Back,movie,1980,NA,124,"Action,Adventure,Fantasy",8.7,1136257
The Green Mile,movie,1999,NA,189,"Crime,Drama,Fantasy",8.6,1118263
Memento,movie,2000,NA,113,"Mystery,Thriller",8.4,1104184
Avatar,movie,2009,NA,162,"Action,Adventure,Fantasy",7.8,1103798
Shutter Island,movie,2010,NA,138,"Mystery,Thriller",8.2,1101520
American Beauty,movie,1999,NA,122,Drama,8.3,1052379
Back to the Future,movie,1985,NA,116,"Adventure,Comedy,Sci-Fi",8.5,1032553
Guardians of the Galaxy,movie,2014,NA,121,"Action,Adventure,Comedy",8,1026473
Titanic,movie,1997,NA,194,"Drama,Romance",7.8,1026337
American History X,movie,1998,NA,119,Drama,8.5,1017486
V for Vendetta,movie,2005,NA,132,"Action,Drama,Sci-Fi",8.2,1013026
Léon: The Professional,movie,1994,NA,110,"Action,Crime,Drama",8.5,1012081
Pirates of the Caribbean: The Curse of the Black Pearl,movie,2003,NA,143,"Action,Adventure,Fantasy",8,1003346
Goodfellas,movie,1990,NA,146,"Biography,Crime,Drama",8.7,996220
Kill Bill: Vol. 1,movie,2003,NA,111,"Action,Crime,Thriller",8.1,981172
WALL·E,movie,2008,NA,98,"Adventure,Animation,Family",8.4,978519
Terminator 2: Judgment Day,movie,1991,NA,137,"Action,Sci-Fi",8.5,978411
The Usual Suspects,movie,1995,NA,106,"Crime,Mystery,Thriller",8.5,972622
Braveheart,movie,1995,NA,178,"Biography,Drama,History",8.3,944406
Star Wars: Episode VI - Return of the Jedi,movie,1983,NA,131,"Action,Adventure,Fantasy",8.3,931415
Finding Nemo,movie,2003,NA,100,"Adventure,Animation,Comedy",8.1,931229
Iron Man,movie,2008,NA,126,"Action,Adventure,Sci-Fi",7.9,923577
The Lion King,movie,1994,NA,88,"Adventure,Animation,Drama",8.5,921121
The Truman Show,movie,1998,NA,103,"Comedy,Drama,Sci-Fi",8.1,915282
Up,movie,2009,NA,96,"Adventure,Animation,Comedy",8.2,915154
Reservoir Dogs,movie,1992,NA,99,"Crime,Drama,Thriller",8.3,900113
The Sixth Sense,movie,1999,NA,107,"Drama,Mystery,Thriller",8.1,897282
One Flew Over the Cuckoo's Nest,movie,1975,NA,133,Drama,8.7,896512
Eternal Sunshine of the Spotless Mind,movie,2004,NA,108,"Drama,Romance,Sci-Fi",8.3,893785
Deadpool,movie,2016,NA,108,"Action,Adventure,Comedy",8,885239
The Shining,movie,1980,NA,146,"Drama,Horror",8.4,873916
Joker,movie,2019,NA,122,"Crime,Drama,Thriller",8.5,872256
Raiders of the Lost Ark,movie,1981,NA,115,"Action,Adventure",8.4,868468
Toy Story,movie,1995,NA,81,"Adventure,Animation,Comedy",8.3,867989
Mad Max: Fury Road,movie,2015,NA,120,"Action,Adventure,Sci-Fi",8.1,860406
Jurassic Park,movie,1993,NA,127,"Action,Adventure,Sci-Fi",8.1,849669
Star Wars: Episode VII - The Force Awakens,movie,2015,NA,138,"Action,Adventure,Sci-Fi",7.9,847187
Good Will Hunting,movie,1997,NA,126,"Drama,Romance",8.3,841315
No Country for Old Men,movie,2007,NA,122,"Crime,Drama,Thriller",8.1,835777
The Walking Dead,tvSeries,2010,NA,44,"Drama,Horror,Thriller",8.2,834624
The Hunger Games,movie,2012,NA,142,"Action,Adventure,Sci-Fi",7.2,832541
A Beautiful Mind,movie,2001,NA,135,"Biography,Drama",8.2,830958
Catch Me If You Can,movie,2002,NA,141,"Biography,Crime,Drama",8.1,805148
Avengers: Infinity War,movie,2018,NA,149,"Action,Adventure,Sci-Fi",8.4,802763
"Monsters, Inc.",movie,2001,NA,92,"Adventure,Animation,Comedy",8,798017
Friends,tvSeries,1994,2004,22,"Comedy,Romance",8.9,788994
The Terminator,movie,1984,NA,107,"Action,Sci-Fi",8,787303
Sherlock,tvSeries,2010,2017,88,"Crime,Drama,Mystery",9.1,781028
Stranger Things,tvSeries,2016,NA,51,"Drama,Fantasy,Horror",8.8,772180
Alien,movie,1979,NA,117,"Horror,Sci-Fi",8.4,772081
Die Hard,movie,1988,NA,132,"Action,Thriller",8.2,770321
Snatch,movie,2000,NA,104,"Comedy,Crime",8.3,769057
Avengers: Endgame,movie,2019,NA,181,"Action,Adventure,Drama",8.4,765670
Gravity,movie,2013,NA,91,"Drama,Sci-Fi,Thriller",7.7,757772
Requiem for a Dream,movie,2000,NA,102,Drama,8.3,751459
Harry Potter and the Deathly Hallows: Part 2,movie,2011,NA,130,"Adventure,Drama,Fantasy",8.1,746492
The Martian,movie,2015,NA,144,"Adventure,Drama,Sci-Fi",8,743824
Toy Story 3,movie,2010,NA,103,"Adventure,Animation,Comedy",8.3,742441
Iron Man 3,movie,2013,NA,130,"Action,Adventure,Sci-Fi",7.2,742141
The Intouchables,movie,2011,NA,112,"Biography,Comedy,Drama",8.5,739984
Sin City,movie,2005,NA,124,"Crime,Thriller",8,734040
Thor,movie,2011,NA,115,"Action,Adventure,Fantasy",7,733431
Donnie Darko,movie,2001,NA,113,"Drama,Mystery,Sci-Fi",8,730011
Captain America: The First Avenger,movie,2011,NA,124,"Action,Adventure,Sci-Fi",6.9,726042
Avengers: Age of Ultron,movie,2015,NA,141,"Action,Adventure,Sci-Fi",7.3,725557
Scarface,movie,1983,NA,170,"Crime,Drama",8.3,724479
300,movie,2006,NA,117,"Action,Drama",7.6,723959
The Big Lebowski,movie,1998,NA,117,"Comedy,Crime,Sport",8.1,717180
Star Wars: Episode I - The Phantom Menace,movie,1999,NA,136,"Action,Adventure,Fantasy",6.5,715460
The Pianist,movie,2002,NA,150,"Biography,Drama,Music",8.5,711283
Gran Torino,movie,2008,NA,116,Drama,8.1,709306
Iron Man 2,movie,2010,NA,124,"Action,Adventure,Sci-Fi",7,708708
The Hangover,movie,2009,NA,100,Comedy,7.7,707667
Taxi Driver,movie,1976,NA,114,"Crime,Drama",8.3,706884
Star Wars: Episode III - Revenge of the Sith,movie,2005,NA,140,"Action,Adventure,Fantasy",7.5,696613
Amélie,movie,2001,NA,122,"Comedy,Romance",8.3,692599
The Grand Budapest Hotel,movie,2014,NA,99,"Adventure,Comedy,Crime",8.1,690557
Black Swan,movie,2010,NA,108,"Drama,Thriller",8,688101
City of God,movie,2002,NA,130,"Crime,Drama",8.6,688044
The Revenant,movie,2015,NA,156,"Action,Adventure,Drama",8,687973
Blade Runner,movie,1982,NA,117,"Action,Sci-Fi,Thriller",8.1,680784
Man of Steel,movie,2013,NA,143,"Action,Adventure,Sci-Fi",7,680762
Indiana Jones and the Last Crusade,movie,1989,NA,127,"Action,Adventure",8.2,679351
Spider-Man,movie,2002,NA,121,"Action,Adventure,Sci-Fi",7.3,677140
I Am Legend,movie,2007,NA,101,"Action,Adventure,Drama",7.2,676324
Kill Bill: Vol. 2,movie,2004,NA,137,"Action,Crime,Thriller",8,670859
The Imitation Game,movie,2014,NA,114,"Biography,Drama,Thriller",8,670686
Full Metal Jacket,movie,1987,NA,116,"Drama,War",8.3,661063
Silver Linings Playbook,movie,2012,NA,122,"Comedy,Drama,Romance",7.7,652562
X-Men: Days of Future Past,movie,2014,NA,132,"Action,Adventure,Sci-Fi",7.9,651838
Captain America: Civil War,movie,2016,NA,147,"Action,Adventure,Sci-Fi",7.8,647391
Pirates of the Caribbean: Dead Man's Chest,movie,2006,NA,151,"Action,Adventure,Fantasy",7.3,645954
The Incredibles,movie,2004,NA,115,"Action,Adventure,Animation",8,644889
Aliens,movie,1986,NA,137,"Action,Adventure,Sci-Fi",8.3,641758
X-Men: First Class,movie,2011,NA,131,"Action,Adventure,Sci-Fi",7.7,638309
District 9,movie,2009,NA,112,"Action,Sci-Fi,Thriller",7.9,631542
Dexter,tvSeries,2006,2013,53,"Crime,Drama,Mystery",8.6,630831
Spirited Away,movie,2001,NA,125,"Adventure,Animation,Family",8.6,630764
Harry Potter and the Sorcerer's Stone,movie,2001,NA,152,"Adventure,Family,Fantasy",7.6,629949
The King's Speech,movie,2010,NA,118,"Biography,Drama,History",8,629881
Star Wars: Episode II - Attack of the Clones,movie,2002,NA,142,"Action,Adventure,Fantasy",6.5,627906
12 Years a Slave,movie,2013,NA,134,"Biography,Drama,History",8.1,627163
Ratatouille,movie,2007,NA,111,"Adventure,Animation,Comedy",8,627114
Million Dollar Baby,movie,2004,NA,132,"Drama,Sport",8.1,625483
Trainspotting,movie,1996,NA,93,Drama,8.1,625223
Skyfall,movie,2012,NA,143,"Action,Adventure,Thriller",7.7,621962
The Social Network,movie,2010,NA,120,"Biography,Drama",7.7,611291
Pan's Labyrinth,movie,2006,NA,118,"Drama,Fantasy,War",8.2,608832
Life Is Beautiful,movie,1997,NA,116,"Comedy,Drama,Romance",8.6,608583
Black Panther,movie,2018,NA,134,"Action,Adventure,Sci-Fi",7.3,607616
The Hunger Games: Catching Fire,movie,2013,NA,146,"Action,Adventure,Mystery",7.5,604570
Fargo,movie,1996,NA,98,"Crime,Drama,Thriller",8.1,603181
Shrek,movie,2001,NA,90,"Adventure,Animation,Comedy",7.8,602248
The Bourne Ultimatum,movie,2007,NA,115,"Action,Mystery,Thriller",8,598574
Inside Out,movie,2015,NA,95,"Adventure,Animation,Comedy",8.1,595712
Apocalypse Now,movie,1979,NA,147,"Drama,Mystery,War",8.4,593691
The Hobbit: The Desolation of Smaug,movie,2013,NA,161,"Adventure,Fantasy",7.8,592274
World War Z,movie,2013,NA,116,"Action,Adventure,Horror",7,591931
Transformers,movie,2007,NA,144,"Action,Adventure,Sci-Fi",7,590437
Suicide Squad,movie,2016,NA,123,"Action,Adventure,Fantasy",6,589277
Edge of Tomorrow,movie,2014,NA,113,"Action,Adventure,Sci-Fi",7.9,588205
Now You See Me,movie,2013,NA,115,"Crime,Mystery,Thriller",7.3,586831
Pirates of the Caribbean: At World's End,movie,2007,NA,169,"Action,Adventure,Fantasy",7.1,586729
How I Met Your Mother,tvSeries,2005,2014,22,"Comedy,Romance",8.3,585792
Prisoners,movie,2013,NA,153,"Crime,Drama,Mystery",8.1,584522
Thor: The Dark World,movie,2013,NA,112,"Action,Adventure,Fantasy",6.9,584161
Doctor Strange,movie,2016,NA,115,"Action,Adventure,Fantasy",7.5,581719
Kingsman: The Secret Service,movie,2014,NA,129,"Action,Adventure,Comedy",7.7,581384
Arrival,movie,2016,NA,116,"Drama,Mystery,Sci-Fi",7.9,578843
The Curious Case of Benjamin Button,movie,2008,NA,166,"Drama,Fantasy,Romance",7.8,577630
Sherlock Holmes,movie,2009,NA,128,"Action,Adventure,Mystery",7.6,575476
Star Trek,movie,2009,NA,127,"Action,Adventure,Sci-Fi",7.9,572578
Casino Royale,movie,2006,NA,144,"Action,Adventure,Thriller",8,572493
Life of Pi,movie,2012,NA,127,"Adventure,Drama,Fantasy",7.9,571916
Jurassic World,movie,2015,NA,124,"Action,Adventure,Sci-Fi",7,571023
Groundhog Day,movie,1993,NA,101,"Comedy,Fantasy,Romance",8,570582
12 Monkeys,movie,1995,NA,129,"Mystery,Sci-Fi,Thriller",8,570107
Birdman or (The Unexpected Virtue of Ignorance),movie,2014,NA,119,"Comedy,Drama",7.7,568683
Thor: Ragnarok,movie,2017,NA,130,"Action,Adventure,Comedy",7.9,568165
Heat,movie,1995,NA,170,"Crime,Drama,Thriller",8.2,564798
Argo,movie,2012,NA,120,"Biography,Drama,Thriller",7.7,564536
X-Men,movie,2000,NA,104,"Action,Adventure,Sci-Fi",7.4,563396
Ted,movie,2012,NA,106,Comedy,6.9,563309
Into the Wild,movie,2007,NA,148,"Adventure,Biography,Drama",8.1,562613
Frozen,movie,2013,NA,102,"Adventure,Animation,Comedy",7.4,562359
Prometheus,movie,2012,NA,124,"Adventure,Mystery,Sci-Fi",7,561916
Drive,movie,2011,NA,100,"Crime,Drama",7.8,560606
Taken,movie,2008,NA,90,"Action,Thriller",7.8,559075
Ant-Man,movie,2015,NA,117,"Action,Adventure,Comedy",7.3,556232
Guardians of the Galaxy Vol. 2,movie,2017,NA,136,"Action,Adventure,Comedy",7.6,553350
The Amazing Spider-Man,movie,2012,NA,136,"Action,Adventure,Sci-Fi",6.9,551284
Star Wars: Episode VIII - The Last Jedi,movie,2017,NA,152,"Action,Adventure,Fantasy",7,550100
Rogue One: A Star Wars Story,movie,2016,NA,133,"Action,Adventure,Sci-Fi",7.8,540780
Harry Potter and the Chamber of Secrets,movie,2002,NA,161,"Adventure,Family,Fantasy",7.4,538542
Wonder Woman,movie,2017,NA,141,"Action,Adventure,Fantasy",7.4,538392
Jaws,movie,1975,NA,124,"Adventure,Thriller",8,537075
Harry Potter and the Prisoner of Azkaban,movie,2004,NA,142,"Adventure,Family,Fantasy",7.9,535883
Spider-Man 2,movie,2004,NA,127,"Action,Adventure,Sci-Fi",7.3,534273
Harry Potter and the Goblet of Fire,movie,2005,NA,157,"Adventure,Family,Fantasy",7.7,533066
Looper,movie,2012,NA,113,"Action,Drama,Sci-Fi",7.4,527653
Her,movie,2013,NA,126,"Drama,Romance,Sci-Fi",8,526583
"Lock, Stock and Two Smoking Barrels",movie,1998,NA,107,"Action,Comedy,Crime",8.2,526351
L.A. Confidential,movie,1997,NA,138,"Crime,Drama,Mystery",8.2,523271
John Wick,movie,2014,NA,101,"Action,Crime,Thriller",7.4,523145
Independence Day,movie,1996,NA,145,"Action,Adventure,Sci-Fi",7,521299
Limitless,movie,2011,NA,105,"Sci-Fi,Thriller",7.4,520264
Kick-Ass,movie,2010,NA,117,"Action,Comedy,Crime",7.6,518752
Toy Story 2,movie,1999,NA,92,"Adventure,Animation,Comedy",7.9,516517
Superbad,movie,2007,NA,113,Comedy,7.6,512802
Cast Away,movie,2000,NA,143,"Adventure,Drama,Romance",7.8,512726
Zombieland,movie,2009,NA,88,"Adventure,Comedy,Fantasy",7.6,512345
The Notebook,movie,2004,NA,123,"Drama,Romance",7.8,510198
Men in Black,movie,1997,NA,98,"Action,Adventure,Comedy",7.3,508438
Rocky,movie,1976,NA,120,"Drama,Sport",8.1,508060
The Matrix Reloaded,movie,2003,NA,138,"Action,Sci-Fi",7.2,507339
Ocean's Eleven,movie,2001,NA,116,"Crime,Thriller",7.7,505998
There Will Be Blood,movie,2007,NA,158,Drama,8.2,505434
X2: X-Men United,movie,2003,NA,134,"Action,Adventure,Sci-Fi",7.4,505292
Shaun of the Dead,movie,2004,NA,99,"Comedy,Horror",7.9,503851
21 Jump Street,movie,2012,NA,109,"Action,Comedy,Crime",7.2,503515
Oldboy,movie,2003,NA,120,"Action,Drama,Mystery",8.4,503438
The Hateful Eight,movie,2015,NA,168,"Crime,Drama,Mystery",7.8,501508
The Bourne Identity,movie,2002,NA,119,"Action,Mystery,Thriller",7.9,500369
Minority Report,movie,2002,NA,145,"Action,Crime,Mystery",7.6,500317
Spider-Man: Homecoming,movie,2017,NA,133,"Action,Adventure,Sci-Fi",7.4,496741
Harry Potter and the Order of the Phoenix,movie,2007,NA,138,"Action,Adventure,Family",7.5,496469
Watchmen,movie,2009,NA,162,"Action,Drama,Mystery",7.6,493101
Despicable Me,movie,2010,NA,95,"Animation,Comedy,Family",7.6,492674
"I, Robot",movie,2004,NA,115,"Action,Drama,Sci-Fi",7.1,492245
Rise of the Planet of the Apes,movie,2011,NA,105,"Action,Drama,Sci-Fi",7.6,491381
Blood Diamond,movie,2006,NA,143,"Adventure,Drama,Thriller",8,491114
Spider-Man 3,movie,2007,NA,139,"Action,Adventure,Sci-Fi",6.2,491013
La La Land,movie,2016,NA,128,"Comedy,Drama,Music",8,490675
True Detective,tvSeries,2014,NA,55,"Crime,Drama,Mystery",9,485645
Juno,movie,2007,NA,96,"Comedy,Drama",7.4,484846
Lost,tvSeries,2004,2010,44,"Adventure,Drama,Fantasy",8.3,484832
Troy,movie,2004,NA,163,"Drama,History",7.2,480955
Source Code,movie,2011,NA,93,"Action,Drama,Mystery",7.5,477995
X-Men: The Last Stand,movie,2006,NA,104,"Action,Adventure,Sci-Fi",6.7,476533
American Psycho,movie,2000,NA,101,"Comedy,Crime,Drama",7.6,476323
Get Out,movie,2017,NA,104,"Horror,Mystery,Thriller",7.7,475541
Pirates of the Caribbean: On Stranger Tides,movie,2011,NA,137,"Action,Adventure,Fantasy",6.6,473743
Back to the Future Part II,movie,1989,NA,108,"Adventure,Comedy,Sci-Fi",7.8,470309
The Great Gatsby,movie,2013,NA,143,"Drama,Romance",7.2,468326
Rain Man,movie,1988,NA,133,Drama,8,466352
The Hobbit: The Battle of the Five Armies,movie,2014,NA,144,"Adventure,Fantasy",7.4,465568
Harry Potter and the Deathly Hallows: Part 1,movie,2010,NA,146,"Adventure,Family,Fantasy",7.7,465304
Ex Machina,movie,2014,NA,108,"Drama,Sci-Fi,Thriller",7.7,464509
"Crazy, Stupid, Love",movie,2011,NA,118,"Comedy,Drama,Romance",7.4,464128
Prison Break,tvSeries,2005,2017,44,"Action,Crime,Drama",8.3,464089
Deadpool 2,movie,2018,NA,119,"Action,Adventure,Comedy",7.7,463666
X-Men Origins: Wolverine,movie,2009,NA,107,"Action,Adventure,Sci-Fi",6.6,460928
Pacific Rim,movie,2013,NA,131,"Action,Adventure,Sci-Fi",6.9,460660
Harry Potter and the Half-Blood Prince,movie,2009,NA,153,"Action,Adventure,Family",7.6,460407
Star Trek Into Darkness,movie,2013,NA,132,"Action,Adventure,Sci-Fi",7.7,459223
Children of Men,movie,2006,NA,109,"Adventure,Drama,Sci-Fi",7.9,457974
The Hangover Part II,movie,2011,NA,102,Comedy,6.4,457474
House of Cards,tvSeries,2013,2018,51,Drama,8.7,457245
Hot Fuzz,movie,2007,NA,121,"Action,Comedy,Mystery",7.8,455751
Casino,movie,1995,NA,178,"Crime,Drama",8.2,455241
The Perks of Being a Wallflower,movie,2012,NA,103,"Drama,Romance",8,453370
Home Alone,movie,1990,NA,103,"Comedy,Family",7.6,453209
Nightcrawler,movie,2014,NA,117,"Crime,Drama,Thriller",7.9,452011
Mission: Impossible - Ghost Protocol,movie,2011,NA,132,"Action,Adventure,Thriller",7.4,451008
Zodiac,movie,2007,NA,157,"Crime,Drama,Mystery",7.7,448670
The Butterfly Effect,movie,2004,NA,113,"Drama,Sci-Fi,Thriller",7.6,445421
It,movie,2017,NA,135,Horror,7.3,445024
Blade Runner 2049,movie,2017,NA,164,"Action,Drama,Mystery",8,444506
Mr. & Mrs. Smith,movie,2005,NA,120,"Action,Comedy,Crime",6.5,443269
American Hustle,movie,2013,NA,138,"Crime,Drama",7.2,441805
The Matrix Revolutions,movie,2003,NA,129,"Action,Sci-Fi",6.8,440714
Indiana Jones and the Temple of Doom,movie,1984,NA,118,"Action,Adventure",7.6,439808
The Pursuit of Happyness,movie,2006,NA,117,"Biography,Drama",8,439045
Edward Scissorhands,movie,1990,NA,105,"Drama,Fantasy,Romance",7.9,438597
Hancock,movie,2008,NA,92,"Action,Fantasy",6.4,438575
Bohemian Rhapsody,movie,2018,NA,134,"Biography,Drama,Music",8,436050
Lucy,movie,2014,NA,89,"Action,Sci-Fi,Thriller",6.4,435625
Little Miss Sunshine,movie,2006,NA,101,"Comedy,Drama",7.8,433182
Ice Age,movie,2002,NA,81,"Adventure,Animation,Comedy",7.5,432960
The Conjuring,movie,2013,NA,112,"Horror,Mystery,Thriller",7.5,432013
Dallas Buyers Club,movie,2013,NA,117,"Biography,Drama",8,431834
Warrior,movie,2011,NA,140,"Action,Drama,Sport",8.2,429028
The Bourne Supremacy,movie,2004,NA,108,"Action,Mystery,Thriller",7.7,428280
The Incredible Hulk,movie,2008,NA,112,"Action,Adventure,Sci-Fi",6.7,427397
The Fifth Element,movie,1997,NA,126,"Action,Adventure,Sci-Fi",7.7,427102
Captain Marvel,movie,2019,NA,123,"Action,Adventure,Sci-Fi",6.9,425531
Baby Driver,movie,2017,NA,113,"Action,Crime,Music",7.6,425143
Rush,movie,2013,NA,123,"Action,Biography,Drama",8.1,424580
The Wolverine,movie,2013,NA,126,"Action,Adventure,Sci-Fi",6.7,423583
Hacksaw Ridge,movie,2016,NA,139,"Biography,Drama,History",8.1,421091
The Help,movie,2011,NA,146,Drama,8,420910
Black Mirror,tvSeries,2011,NA,60,"Drama,Sci-Fi,Thriller",8.8,420417
Twilight,movie,2008,NA,122,"Drama,Fantasy,Romance",5.2,419534
Charlie and the Chocolate Factory,movie,2005,NA,115,"Adventure,Comedy,Family",6.6,418631
Indiana Jones and the Kingdom of the Crystal Skull,movie,2008,NA,122,"Action,Adventure",6.1,418325
Horrible Bosses,movie,2011,NA,98,"Comedy,Crime",6.9,416974
Fury,movie,2014,NA,134,"Action,Drama,War",7.6,416857
Love Actually,movie,2003,NA,135,"Comedy,Drama,Romance",7.6,416640
Crash,movie,2004,NA,112,"Crime,Drama,Thriller",7.7,415832
Sherlock Holmes: A Game of Shadows,movie,2011,NA,129,"Action,Adventure,Mystery",7.5,414994
"Three Billboards Outside Ebbing, Missouri",movie,2017,NA,115,"Comedy,Crime,Drama",8.2,414847
The Girl with the Dragon Tattoo,movie,2011,NA,158,"Crime,Drama,Mystery",7.8,413265
Dead Poets Society,movie,1989,NA,128,"Comedy,Drama",8.1,413260
Westworld,tvSeries,2016,NA,62,"Drama,Mystery,Sci-Fi",8.7,412865
Mystic River,movie,2003,NA,138,"Crime,Drama,Mystery",7.9,412684
Beauty and the Beast,movie,1991,NA,84,"Animation,Family,Fantasy",8,411646
Shrek 2,movie,2004,NA,93,"Adventure,Animation,Comedy",7.2,411488
Kung Fu Panda,movie,2008,NA,92,"Action,Adventure,Animation",7.5,411195
The Amazing Spider-Man 2,movie,2014,NA,142,"Action,Adventure,Sci-Fi",6.6,410433
Split,movie,2016,NA,117,"Horror,Thriller",7.3,410310
War of the Worlds,movie,2005,NA,116,"Adventure,Sci-Fi,Thriller",6.5,410098
The Maze Runner,movie,2014,NA,113,"Action,Mystery,Sci-Fi",6.8,409963
Big Fish,movie,2003,NA,125,"Adventure,Drama,Fantasy",8,409586
The Day After Tomorrow,movie,2004,NA,124,"Action,Adventure,Sci-Fi",6.4,409473
Spotlight,movie,2015,NA,129,"Biography,Crime,Drama",8.1,408914
Dawn of the Planet of the Apes,movie,2014,NA,130,"Action,Adventure,Drama",7.6,407494
The Hunger Games: Mockingjay - Part 1,movie,2014,NA,123,"Action,Adventure,Sci-Fi",6.6,405792
Lost in Translation,movie,2003,NA,102,"Comedy,Drama",7.7,405367
House,tvSeries,2004,2012,44,"Drama,Mystery",8.7,405089
Vikings,tvSeries,2013,NA,44,"Action,Adventure,Drama",8.5,404500
Arrow,tvSeries,2012,2020,42,"Action,Adventure,Crime",7.5,402682
Big Hero 6,movie,2014,NA,102,"Action,Adventure,Animation",7.8,402416
Fantastic Beasts and Where to Find Them,movie,2016,NA,132,"Adventure,Family,Fantasy",7.3,400283
Quantum of Solace,movie,2008,NA,106,"Action,Adventure,Thriller",6.6,399183
Gangs of New York,movie,2002,NA,167,"Crime,Drama",7.5,398313
The Terminal,movie,2004,NA,128,"Comedy,Drama,Romance",7.4,398159
Tangled,movie,2010,NA,100,"Adventure,Animation,Comedy",7.7,397556
We're the Millers,movie,2013,NA,110,"Comedy,Crime",7,396620
Back to the Future Part III,movie,1990,NA,118,"Adventure,Comedy,Sci-Fi",7.4,396165
The Da Vinci Code,movie,2006,NA,149,"Mystery,Thriller",6.6,393781
Knives Out,movie,2019,NA,130,"Comedy,Crime,Drama",7.9,393511
The Last Samurai,movie,2003,NA,154,"Action,Drama,War",7.7,393464
Armageddon,movie,1998,NA,151,"Action,Adventure,Sci-Fi",6.7,390742
The 40-Year-Old Virgin,movie,2005,NA,116,"Comedy,Romance",7.1,389192
The Princess Bride,movie,1987,NA,98,"Adventure,Family,Fantasy",8.1,387073
King Kong,movie,2005,NA,187,"Action,Adventure,Drama",7.2,385294
The Mummy,movie,1999,NA,124,"Action,Adventure,Fantasy",7,385254
In Bruges,movie,2008,NA,107,"Comedy,Crime,Drama",7.9,384824
Live Free or Die Hard,movie,2007,NA,128,"Action,Thriller",7.1,384762
American Gangster,movie,2007,NA,157,"Biography,Crime,Drama",7.8,384540
Training Day,movie,2001,NA,122,"Crime,Drama,Thriller",7.7,382798
The Office,tvSeries,2005,2013,22,Comedy,8.9,381987
Mission: Impossible,movie,1996,NA,110,"Action,Adventure,Thriller",7.1,381490
Midnight in Paris,movie,2011,NA,96,"Comedy,Fantasy,Romance",7.7,381483
Unbreakable,movie,2000,NA,106,"Drama,Mystery,Sci-Fi",7.3,381156
Transformers: Dark of the Moon,movie,2011,NA,154,"Action,Adventure,Sci-Fi",6.2,380780
Transformers: Revenge of the Fallen,movie,2009,NA,149,"Action,Adventure,Sci-Fi",6,380100
Supernatural,tvSeries,2005,2020,44,"Drama,Fantasy,Horror",8.4,379718
Alice in Wonderland,movie,2010,NA,108,"Adventure,Family,Fantasy",6.4,377798
Spectre,movie,2015,NA,148,"Action,Adventure,Thriller",6.8,377536
Platoon,movie,1986,NA,120,"Drama,War",8.1,374625
Justice League,movie,2017,NA,120,"Action,Adventure,Fantasy",6.3,373355
Saw,movie,2004,NA,103,"Horror,Mystery",7.6,373082
Wreck-It Ralph,movie,2012,NA,101,"Adventure,Animation,Comedy",7.7,372828
Tropic Thunder,movie,2008,NA,107,"Action,Comedy,War",7,372804
Terminator 3: Rise of the Machines,movie,2003,NA,109,"Action,Sci-Fi",6.3,372675
The Lost World: Jurassic Park,movie,1997,NA,129,"Action,Adventure,Sci-Fi",6.6,372505
1917,movie,2019,NA,119,"Drama,War",8.3,372051
American Pie,movie,1999,NA,95,Comedy,7,371023
Scott Pilgrim vs. the World,movie,2010,NA,112,"Action,Comedy,Fantasy",7.5,370622
Godzilla,movie,2014,NA,123,"Action,Adventure,Sci-Fi",6.4,370591
