primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
Raazi,movie,2018,NA,138,"Action,Drama,Thriller",7.8,24243
Domestic Disturbance,movie,2001,NA,89,"Crime,Thriller",5.6,24225
A Walk in the Woods,movie,2015,NA,104,"Adventure,Biography,Comedy",6.3,24221
D3: The Mighty Ducks,movie,1996,NA,104,"Action,Comedy,Drama",5.5,24219
The Fosters,tvSeries,2013,2018,60,"Drama,Romance",7.9,24213
Return to Oz,movie,1985,NA,113,"Adventure,Family,Fantasy",6.7,24209
The Quiet Earth,movie,1985,NA,91,"Drama,Mystery,Sci-Fi",6.8,24190
Hope Floats,movie,1998,NA,114,"Drama,Romance",6.1,24179
Selena,movie,1997,NA,127,"Biography,Drama,Music",6.8,24162
Birthday Girl,movie,2001,NA,93,"Comedy,Crime,Thriller",6.1,24160
A Midsummer Night's Dream,movie,1999,NA,116,"Comedy,Fantasy,Romance",6.4,24159
Pom Poko,movie,1994,NA,119,"Animation,Comedy,Drama",7.3,24152
Possession,movie,1981,NA,124,"Drama,Horror",7.4,24137
Kontroll,movie,2003,NA,105,"Comedy,Crime,Drama",7.6,24130
Honey Boy,movie,2019,NA,94,Drama,7.3,24120
The Bounty,movie,1984,NA,132,"Adventure,Drama,History",7.1,24109
The Night Lands,tvEpisode,2012,NA,54,"Action,Adventure,Drama",8.5,24102
American Dreamz,movie,2006,NA,107,"Comedy,Music",5.4,24099
Family Matters,tvSeries,1989,1998,30,"Adventure,Comedy,Drama",6.6,24092
Goodbye Christopher Robin,movie,2017,NA,107,"Biography,Drama",7.1,24089
Tie Me Up! Tie Me Down!,movie,1989,NA,101,"Comedy,Crime,Drama",7,24066
A Discovery of Witches,tvSeries,2018,NA,60,"Drama,Fantasy,Romance",8.1,24066
Eye See You,movie,2002,NA,96,"Crime,Thriller",5.3,24054
Being Human,tvSeries,2011,2014,44,"Drama,Fantasy,Horror",7.5,24053
Honeymoon,movie,2014,NA,87,"Horror,Mystery,Thriller",5.7,24051
She's Funny That Way,movie,2014,NA,93,"Comedy,Drama",6.1,24038
The Blind Banker,tvEpisode,2010,NA,89,"Crime,Drama,Mystery",8.1,24023
The NeverEnding Story II: The Next Chapter,movie,1990,NA,90,"Adventure,Drama,Family",5.2,24022
Hoop Dreams,movie,1994,NA,170,"Documentary,Drama,Sport",8.3,24020
The Secret Life of Bees,movie,2008,NA,114,Drama,7.3,24013
Just Cause,movie,1995,NA,102,"Action,Crime,Drama",6.4,24004
Mr. Turner,movie,2014,NA,150,"Biography,Drama,History",6.8,23999
City by the Sea,movie,2002,NA,108,"Crime,Drama,Mystery",6.1,23994
Chhapaak,movie,2020,NA,120,"Biography,Drama",5.1,23980
The Last Unicorn,movie,1982,NA,92,"Adventure,Animation,Drama",7.5,23972
My Life Without Me,movie,2003,NA,106,"Drama,Romance",7.5,23965
Hanna,tvSeries,2019,NA,60,"Action,Drama",7.5,23924
The Man with Two Brains,movie,1983,NA,93,"Comedy,Romance,Sci-Fi",6.4,23908
Rectify,tvSeries,2013,2016,60,Drama,8.3,23905
Cold Case,tvSeries,2003,2010,44,"Crime,Drama,Mystery",7.5,23891
Destroyer,movie,2018,NA,121,"Action,Crime,Drama",6.2,23890
Jawbreaker,movie,1999,NA,87,"Comedy,Crime,Thriller",5.7,23888
Celebrity,movie,1998,NA,113,"Comedy,Drama",6.3,23886
Recep Ivedik,movie,2008,NA,90,Comedy,4.6,23873
The Deuce,tvSeries,2017,2019,60,Drama,8.1,23865
The Quest,movie,1996,NA,95,"Action,Adventure,Drama",5.6,23857
Colors,movie,1988,NA,120,"Action,Crime,Drama",6.8,23835
7th Heaven,tvSeries,1996,2007,60,"Comedy,Drama,Family",5.2,23835
Kaabil,movie,2017,NA,139,"Action,Drama,Thriller",7.1,23833
Barney's Version,movie,2010,NA,134,"Comedy,Drama",7.3,23822
What Is Dead May Never Die,tvEpisode,2012,NA,53,"Action,Adventure,Drama",8.8,23819
Grumpier Old Men,movie,1995,NA,101,"Comedy,Romance",6.7,23800
The Good German,movie,2006,NA,105,"Drama,Mystery,Romance",6,23798
You're Not You,movie,2014,NA,102,Drama,7.3,23767
Greta,movie,2018,NA,98,"Drama,Mystery,Thriller",6,23752
Georgia Rule,movie,2007,NA,113,"Comedy,Drama",5.8,23738
Kissed by Fire,tvEpisode,2013,NA,57,"Action,Adventure,Drama",9,23735
Catch and Release,movie,2006,NA,124,"Comedy,Drama,Romance",6,23732
Capturing the Friedmans,movie,2003,NA,107,"Biography,Documentary",7.7,23731
The L Word,tvSeries,2004,2009,50,"Drama,Romance",7.6,23728
Being Human,tvSeries,2008,2013,60,"Comedy,Drama,Fantasy",7.8,23728
Witches of East End,tvSeries,2013,2014,60,"Comedy,Drama,Fantasy",7.6,23721
Before Night Falls,movie,2000,NA,133,"Biography,Drama,Romance",7.2,23716
The Wild,movie,2006,NA,95,"Adventure,Animation,Comedy",5.3,23702
Batman Beyond,tvSeries,1999,2001,23,"Action,Adventure,Animation",8.1,23701
Amazing Grace,movie,2006,NA,118,"Biography,Drama,History",7.4,23701
Vera Drake,movie,2004,NA,125,"Crime,Drama",7.6,23678
On the Basis of Sex,movie,2018,NA,120,"Biography,Drama",7.1,23678
Spring,movie,2014,NA,109,"Horror,Romance,Sci-Fi",6.7,23676
Over Her Dead Body,movie,2008,NA,95,"Comedy,Fantasy,Romance",5.2,23672
The Man Who Fell to Earth,movie,1976,NA,139,"Drama,Sci-Fi",6.7,23661
Mersal,movie,2017,NA,172,"Action,Thriller",7.6,23660
The Adventures of Buckaroo Banzai Across the 8th Dimension,movie,1984,NA,103,"Adventure,Comedy,Romance",6.3,23648
Living with Yourself,tvSeries,2019,NA,26,"Comedy,Drama,Sci-Fi",7.2,23641
Jean de Florette,movie,1986,NA,120,"Comedy,Drama",8,23640
Fervour,movie,1999,NA,174,"Action,Drama",8.1,23639
A Man Without Honor,tvEpisode,2012,NA,56,"Action,Adventure,Drama",8.9,23634
Crazy/Beautiful,movie,2001,NA,99,"Drama,Romance",6.5,23633
God's Own Country,movie,2017,NA,104,"Drama,Romance",7.7,23630
Gorillas in the Mist: The Adventure of Dian Fossey,movie,1988,NA,129,"Biography,Drama",7,23629
Dead Freight,tvEpisode,2012,NA,48,"Crime,Drama,Thriller",9.7,23616
Forbrydelsen,tvSeries,2007,2012,57,"Crime,Drama,Mystery",8.4,23607
The Climb,tvEpisode,2013,NA,53,"Action,Adventure,Drama",8.8,23607
House of Lies,tvSeries,2012,2016,28,"Comedy,Drama",7.4,23601
The Sacrifice,movie,1986,NA,149,Drama,8.1,23599
Caprica,tvSeries,2009,2010,60,"Action,Drama,Sci-Fi",7.1,23590
8 Simple Rules,tvSeries,2002,2005,30,"Comedy,Drama",7,23585
Dragon Wars: D-War,movie,2007,NA,107,"Action,Drama,Fantasy",3.5,23562
Kick,movie,2014,NA,146,"Action,Comedy",5.3,23557
Broadway Danny Rose,movie,1984,NA,84,Comedy,7.4,23548
First of His Name,tvEpisode,2014,NA,53,"Action,Adventure,Drama",8.8,23538
Little White Lies,movie,2010,NA,154,"Comedy,Drama",7.1,23520
No Sanctuary,tvEpisode,2014,NA,42,"Drama,Horror,Thriller",9.6,23519
Psycho II,movie,1983,NA,113,"Crime,Horror,Mystery",6.5,23514
Juice,movie,1992,NA,95,"Action,Crime,Drama",7.1,23506
The Hounds of Baskerville,tvEpisode,2012,NA,88,"Crime,Drama,Mystery",8.4,23487
10 Years,movie,2011,NA,110,"Comedy,Drama,Romance",6.1,23486
Short Circuit 2,movie,1988,NA,110,"Comedy,Drama,Family",5.8,23482
My Name Is Bruce,movie,2007,NA,84,"Comedy,Fantasy,Horror",6.2,23467
Dreams,movie,1990,NA,119,"Drama,Fantasy",7.8,23461
All the King's Men,movie,2006,NA,128,"Drama,Thriller",6.2,23450
Fading Gigolo,movie,2013,NA,90,"Comedy,Romance",6.2,23442
The Perfect Score,movie,2004,NA,93,"Comedy,Crime",5.7,23431
Hamburger Hill,movie,1987,NA,110,"Action,Drama,Thriller",6.7,23418
Second Sons,tvEpisode,2013,NA,56,"Action,Adventure,Drama",9,23414
Dirty Work,movie,1998,NA,82,Comedy,6.5,23402
Super Troopers 2,movie,2018,NA,100,"Comedy,Crime,Mystery",6.1,23392
Incident in a Ghostland,movie,2018,NA,91,"Drama,Horror,Mystery",6.4,23391
Silver Bullet,movie,1985,NA,95,Horror,6.4,23384
The Book of Henry,movie,2017,NA,105,"Crime,Drama,Thriller",6.6,23384
The Happytime Murders,movie,2018,NA,91,"Action,Comedy,Crime",5.4,23365
The Prince of Winterfell,tvEpisode,2012,NA,54,"Action,Adventure,Drama",8.8,23353
Dhoom 2,movie,2006,NA,152,"Action,Thriller",6.5,23345
Moonlight,tvSeries,2007,2008,60,"Drama,Fantasy,Horror",7.6,23341
I.Q.,movie,1994,NA,100,"Comedy,Romance",6.2,23337
Repo! The Genetic Opera,movie,2008,NA,98,"Horror,Musical,Sci-Fi",6.6,23326
The Brave Little Toaster,movie,1987,NA,90,"Adventure,Animation,Family",7.3,23319
Walk of Punishment,tvEpisode,2013,NA,56,"Action,Adventure,Drama",8.9,23294
